"species","code","longitude","latitude","source","locality.eflora","plot.lucas","elevation","Forest","Non.Forest","Alpine","coord_prec"
"Veronica odora","WELT.SP017214",168.8333333,-45.5,"eflora","Garvie Mountains",NA,997.557251,0,1,1,7
"Veronica odora","CHR 123620",167.193,-45.5053,"gbif",NA,NA,765.2677002,0,1,1,4
"Veronica odora","CHR 123621",167.193,-45.5053,"gbif",NA,NA,765.2677002,0,1,1,4
"Veronica odora","CHR123620",167.1933,-45.50531,"eflora","Southland, Fiordland, Wilmott Pass.",NA,778.0588989,0,1,1,5
"Veronica odora","CHR123621",167.1933,-45.50531,"eflora","Southland, Fiordland, Wiltmot Pass.",NA,778.0588989,0,1,1,5
"Veronica odora","CHR565776",170.4271,-45.51538,"eflora","Swampy Hill",NA,720,0,1,1,5
"Veronica odora","CHR 565776",170.427,-45.5154,"gbif",NA,NA,720,0,1,1,4
"Veronica odora","WELT.SP098794",168.3721443,-45.51666895,"eflora","Eyre Mountains, Cromel - Irthing Ridge.",NA,1046.867432,0,1,1,8
"Veronica odora","WELT.SP017220",170.4156337,-45.5172278,"eflora","Dunedin, Swampy Hill",NA,681.713562,0,1,1,7
"Veronica odora","WELT.SP017223/A",170.4156337,-45.5172278,"eflora","Dunedin, Swampy Hill.",NA,681.713562,0,1,1,7
"Veronica odora","WELT.SP017223/B",170.4156337,-45.5172278,"eflora","Dunedin, Swampy Hill",NA,681.713562,0,1,1,7
"Veronica odora","WELT.SP017224",170.4156337,-45.5172278,"eflora","Dunedin, Swampy Hill",NA,681.713562,0,1,1,7
"Veronica odora","AK264477",170.4170278,-45.51741667,"eflora","[New Zealand, South Island], Swampy Hill",NA,694.3181152,0,1,1,8
"Veronica odora","CHR112000",167.201,-45.52637,"eflora","Clive [Cleve] Garth Falls, Fiordland",NA,681.7765503,0,1,1,5
"Veronica odora","CHR 112000",167.201,-45.5264,"gbif",NA,NA,681.7765503,0,1,1,4
"Veronica odora","CHR 459588",167.85,-45.5299,"gbif",NA,NA,289.1843567,0,1,1,4
"Veronica odora","CHR459588",167.8504,-45.52995,"eflora","Southland, near Lake Te Anau, Wilderness Reserve.",NA,289.2929382,0,1,1,5
"Veronica odora","WELT.SP017204",167.8489244,-45.53169035,"eflora","Mararoa River, The Wilderness",NA,287.7767029,0,1,1,8
"Veronica odora","WELT.SP017205",167.8489244,-45.53169035,"eflora","Mararoa River, The Wilderness",NA,287.7767029,0,1,1,8
"Veronica odora","CHR 513162",167.847,-45.5361,"gbif",NA,NA,284.863678,0,1,1,4
"Veronica odora","CHR513162",167.8472,-45.53613,"eflora","near Te Anau, Mossburn Road, The Wilderness",NA,284.863678,0,1,1,5
"Veronica odora","CHR253281",168.058,-45.54027,"eflora","Mavora Hills, Southland",NA,598.9484863,0,1,1,5
"Veronica odora","CHR 253281",168.058,-45.5403,"gbif",NA,NA,595.6151123,0,1,1,4
"Veronica odora","426443",167.75,-45.55,"gbif",NA,NA,220.3154907,0,1,1,2
"Veronica odora","WELT.SP017210",167.1043881,-45.55946018,"eflora","Near Wilmot Pass, Mt Barber",NA,583.4347534,0,1,1,8
"Veronica odora","WELT.SP017211",167.1043881,-45.55946018,"eflora","Near Wilmot Pass, Mt Barber",NA,583.4347534,0,1,1,8
