"sp","d.tpos","d.tneg","d.fpos","d.fneg","d.probopti","NZ.count","tmax1","tmax2","tmax3","tmax4","q1","q2","w11","w12","ns1","ns2","tmean1","tmean2","w21","w22","w23","w24","nsoil1","nsoil2","tmin1","tmin2","tmin3","tmin4","tmean21","tmean22","tmax1.back","tmax2.back","tmax3.back","tmax4.back","q1.back","q2.back","w11.back","w12.back","ns1.back","ns2.back","tmean1.back","tmean2.back","w21.back","w22.back","w23.back","w24.back","nsoil1.back","nsoil2.back","tmin1.back","tmin2.back","tmin3.back","tmin4.back","tmean21.back","tmean22.back"
"V._corriganii",241,190,60,8,0.635365043,76563,0.183535098,0.321122518,0.599846521,0.756081361,0.271407741,0.273278077,0.295107787,0.361321162,0.290044766,0.462843991,0.373698282,0.379088617,0.760914861,0.998970101,1.395993833,1.691598061,0.002399189,0.015386172,0.198991319,0.21711158,0.758596722,0.76625473,0.755796791,0.759613474,-0.823245092,6.056125923,19.99232603,27.80406804,13.29899714,13.39064359,29.51077873,36.13211617,0.290044766,0.462843991,1.816422669,2.058987749,76.09148615,99.89701014,100,100,0.002399189,0.015386172,-11.04539062,-10.22997891,14.13685248,14.48146287,19.01085561,19.18260635
"V._cryptomorpha",60,64,6,2,0.614393124,20280,0.09911761,0.118567781,1.47909117,1.678190406,0.910365538,0.910370016,0.867864117,0.960118519,0.173278572,0.276111214,0.066165081,0.228154659,0.673467823,0.796173166,2.27107574,2.360111293,0.004914824,0.017489864,0.216212597,0.444914458,0.603763371,0.929854802,0.694782354,0.703559912,-5.044119494,-4.071610944,40,40,44.60791357,44.60813296,86.78641167,96.01185194,0.173278572,0.276111214,-12.02257136,-4.733040343,67.34678232,79.61731665,100,100,0.004914824,0.017489864,-10.27043312,0.021150609,7.169351684,21.84346607,16.26520591,16.66019605
"V._cupressoides",80,68,22,8,0.592073146,72770,0.448152528,0.449885869,0.614393067,0.620809199,0.402891209,0.403046179,0.383797938,0.508218489,0.133807203,0.376005865,0.036158422,0.345424584,0.714560601,0.723545986,1.510150534,1.733730958,0.021891061,0.05761842,0.367589935,0.376323558,0.429678091,0.464295473,0.647984211,0.648417364,12.40762641,12.49429345,20.71965333,21.04045996,19.74168386,19.74927737,38.37979376,50.82184893,0.133807203,0.376005865,-13.372871,0.544106296,71.45606012,72.35459857,100,100,0.021891061,0.05761842,-3.458452938,-3.065439874,-0.664485886,0.893296289,14.15928948,14.17878139
"V._decora",345,245,115,9,0.291611129,61671,0.249843168,0.296783557,1.422203614,1.49410122,0.345886306,0.3467581,0.836830528,0.954796099,0.128510832,0.410516087,0.367540232,0.368783908,0.907421041,0.934535369,2.443963636,2.659079732,0.021217299,0.035785895,0.097745375,0.317644511,0.406602754,0.464325083,0.52936021,0.784373316,2.492158384,4.839177875,40,40,16.94844501,16.9911629,83.68305275,95.47960987,0.128510832,0.410516087,1.53931046,1.59527588,90.7421041,93.45353692,100,100,0.021217299,0.035785895,-15.60145815,-5.705996996,-1.702876072,0.894628714,8.821209454,20.29679924
"V._decumbens",166,130,40,1,0.291553668,41769,0.024995719,0.172056019,0.300033395,0.434498786,0.356135925,0.364327932,0.439206441,0.58859395,0.082187409,0.082293025,0.347393564,0.441944237,0.434217283,0.568016948,2.23512378,2.329333374,0.000856647,0.042538805,0.507565474,0.602667643,1.595947349,1.79374744,0.870492223,1.185330406,-8.750214053,-1.397199059,5.001669767,11.72493931,17.45067608,17.85208422,43.92064409,58.85939497,0.082187409,0.082293025,0.632710402,4.887490652,43.42172834,56.80169479,100,100,0.000856647,0.042538805,2.840446326,7.120043915,25,25,24.17215005,30
"V._densifolia",133,120,20,4,0.521370003,33733,0.140210087,0.287825016,0.572111756,0.573371337,0.060608399,0.267536208,0.246224203,0.42939319,0.225430874,0.315396613,0.231046633,0.233319397,0.129483968,0.386655048,1.005557234,1.254826968,0.028506868,0.058021556,0.090631116,0.193653482,0.310708624,0.416221464,0.812251051,1.103525463,-2.989495641,4.391250788,18.60558778,18.66856684,2.969834582,13.10929212,24.62242028,42.93931901,0.225430874,0.315396613,-4.602901514,-4.500627122,12.94839679,38.66550484,100,100,0.028506868,0.058021556,-15.9215998,-11.28559329,-6.018111902,-1.270034106,21.5512973,30
"V._diosmifolia",71,76,4,1,0.848733093,14166,0.292971443,0.459517147,1.87774974,2.152570923,0.218356672,0.321395875,0.362030538,0.603173312,0.308320222,0.319530794,0.556157027,0.557435679,0.464533147,0.544496204,1.923574025,2.18311663,0.026768597,0.037910399,0.585693578,0.611418099,1.010925101,1.169009618,0.749662577,0.750800475,4.648572129,12.97585736,40,40,10.69949609,15.74841449,36.20305377,60.31733115,0.308320222,0.319530794,10.02706623,10.08460558,46.45331469,54.4496204,100,100,0.026768597,0.037910399,6.356211002,7.513814466,25,25,18.73481597,18.78602138
"V._elliptica",66,31,39,0,0.271467372,138837,0.509367497,0.605852863,1.288980951,1.490269205,0.429679368,0.46026343,0.587751783,0.69876689,0.129016502,0.455869857,0.412827072,0.576519806,0.6028743,0.877374973,2.423539494,2.587646515,0.027460906,0.047795987,0.040148921,0.313196969,0.513354319,0.565364065,0.713360389,0.774306409,15.46837483,20.29264313,40,40,21.05430302,22.55292129,58.77517834,69.876689,0.129016502,0.455869857,3.577218228,10.94339129,60.28742995,87.7374973,100,100,0.027460906,0.047795987,-18.19329855,-5.9061364,3.100944362,5.44138293,17.10121751,19.8437884
"V._epacridea",319,251,79,11,0.442050188,54130,0.058592803,0.058608771,0.269451141,0.42736325,0.226660444,0.247905243,0.747779036,0.89314583,0.01028119,0.266542503,0.283694342,0.396440268,0.823639022,0.905675954,2.214294477,2.266549141,0.027748506,0.031931032,0.061609729,0.391283446,0.468998417,0.47100907,0.863844083,1.071293358,-7.070359872,-7.069561459,3.472557039,11.3681625,11.1063807,12.14737536,74.77790364,89.31458296,0.01028119,0.266542503,-2.233754594,2.839812067,82.36390225,90.5675954,100,100,0.027748506,0.031931032,-17.22756221,-2.392244937,1.104928766,1.195408143,23.87298374,30
"V._evenosa",33,39,1,1,0.6733875,28019,0.216141667,0.320474342,2.040343141,2.220730832,0.241902577,0.250798357,0.366489839,0.496813819,0.173271693,0.173313814,0.334895041,0.473596242,0.900683688,0.999932823,1.380086523,1.497151578,0.026035822,0.133331311,0.052246322,0.330853679,0.63341105,0.644340644,0.51775874,0.842360414,0.807083374,6.02371711,40,40,11.85324483,12.28913784,36.64898386,49.68138189,0.173271693,0.173313814,0.070276855,6.311830879,90.06836878,99.99328228,100,100,0.026035822,0.133331311,-17.64891553,-5.111584444,8.503497228,8.995328966,8.299143301,22.90621862
